id|name|usuario|email|pasaporte|cedula|password|tipo|status|deleted_at|remember_token|created_at|updated_at|observaciones
1|HORI LAL PAL|usuario1|usuario1@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
2|FERNANDO CARLOS VELIZ FERNANDEZ, MARIA MARGARITA MARTIN DE VELIZ|usuario2|usuario2@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
3|SEAWAVES 6C, S.A.|usuario3|usuario3@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
4|PROMOTORA CARIBE,S.A.|usuario4|usuario4@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
5|RODOLFO ENRIQUE CORONA SALAS |usuario5|usuario5@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
6|ALEJANDRA PALACIOS GINNARI|usuario6|usuario6@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
7|OSCAR LAHUERTA ALMAZAN, CELIA LAHUERTA ALMAZAN|usuario7|usuario7@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
8|JAMES GABRIEL SULTAN|usuario8|usuario8@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
9|BRIAN ROBERT TECLAW|usuario9|usuario9@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
10|IMPELARA,S.A.|usuario10|usuario10@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
11|MARTA GUILLEN DE ROIG, RAMON ORLANDO ROIG DUMONT|usuario11|usuario11@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
12|HECTOR GALASO|usuario12|usuario12@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
13|ROBERTO JACINTO CHOCKEE LOPEZ|usuario13|usuario13@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
14|OSCAR LAHUERTA ALMAZAN|usuario14|usuario14@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
15|GAETANO CURIA|usuario15|usuario15@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
16|GAETANO CURIA|usuario16|usuario16@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
17|RAMSES FRANCIS VEGA MURILLO, FATIMA LISSET BEITIA ARAUZ|usuario17|usuario17@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
18|MARIANELLA JOSEFINA BETANCOURT DE RUIZ |usuario18|usuario18@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
19|LUIS ALFREDO NAVAS GARCIA|usuario19|usuario19@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
20|VICTORIA KOUZNETSOVA|usuario20|usuario20@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
21|EDUARDO ALBERTO HUN TAM|usuario21|usuario21@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
22|KENTEL PATEL|usuario22|usuario22@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
23|CELIA LAHUERTA ALMAZAN|usuario23|usuario23@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
24|JAMES GABRIEL SULTAN|usuario24|usuario24@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
25|ALFONSO VICTORIA GOMEZ|usuario25|usuario25@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
26|BENJAMIN FRANKLIN BONFANTI|usuario26|usuario26@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
27|SEAWAVES PANAMA, CORP.|usuario27|usuario27@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
28|ALEXEY FIMANOV|usuario28|usuario28@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.84 
29|CAMILO ANDRES PINILLA DAZA, DILSA LORENA CRUZ SAAVEDRA|usuario29|usuario29@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $187.67 
30|SW RENTAL, S.A.|usuario30|usuario30@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $188.22 
31|SEAWEAVES 13C, S.A.|usuario31|usuario31@mail.com|||$2y$10$.3NQ9Wn0CBPFvPM.eUkzIOIdY86T9YOK.yxbITaxRmAm6oP4YSbU6|propietario|1|||2016-5-18 11:00:00|2016-5-18 11:00:00| $150.53 
